country	Country	COUNTRY	Audience (Country)
country_code	Country code	COUNTRY	Audience (Country)
cpc	CPC (destination)	NUMERIC	Performance
cpm	CPM	NUMERIC	Performance
cta_conversion	CTA conversions	NUMERIC	Conversions (Attribution)
ctr	CTR (destination)	PERCENT	Performance
currency	Currency	TEXT	Advertiser
custom_page_event_rate	Custom event rate (website) (%)	PERCENT	Conversions (Website)
custom_page_events	Custom events (website)	NUMERIC	Conversions (Website)
custom_page_events_value	Custom event value (website)	NUMERIC	Conversions (Website)
date	Date	DATE	Time (Date)
engaged_view_through_conversions	EVTA conversions	NUMERIC	Conversions (Attribution)
engagement_rate	CTR (all)	PERCENT	Interactions (Clicks)
engagements	Clicks (all)	NUMERIC	Interactions (Clicks)
form	Form submissions (website)	NUMERIC	Conversions (Website)
form_rate	Unique form submission rate (website) (%)	PERCENT	Conversions (Website)
gender	Gender	TEXT	Audience (Gender)
gmv_max_ads_billed_cost	GMV Max Ads Net Cost	NUMERIC	GMV Max Ads
image_height	Image Height	NUMERIC	Ad
image_id	Image ID	TEXT	Assets (Image)
image_mode	Format	TEXT	Ad
image_url	Image URL	IMAGE_URL	Ad
image_width	Image Width	NUMERIC	Ad
impressions	Impressions	NUMERIC	Performance
ix_average_video_play	Average Instant experience video view time	NUMERIC	Interactions (Instant Experiences)
ix_average_video_play_non_aggregated	(Internal) Average Instant experience video view time (Non-Aggregated)	NUMERIC	Interactions (Instant Experiences)
ix_page_duration_avg	Instant experience average view time	NUMERIC	Interactions (Instant Experiences)
ix_page_duration_avg_non_aggregated	(Internal) Instant experience average view time (Non-Aggregated)	NUMERIC	Interactions (Instant Experiences)
ix_page_view_count	Page views (TikTok)	NUMERIC	Conversions (TikTok)
ix_page_view_count_rate	Page view rate (TikTok) (%)	PERCENT	Conversions (TikTok)
ix_page_viewrate_avg	Instant experience average view percentage	PERCENT	Interactions (Instant Experiences)
ix_page_viewrate_avg_non_aggregated	(Internal) Instant experience average view percentage (Non-Aggregated)	PERCENT	Interactions (Instant Experiences)
ix_video_views	Instant experience video views	NUMERIC	Interactions (Instant Experiences)
ix_video_views_p100	Instant experience video views at 100%	NUMERIC	Interactions (Instant Experiences)
ix_video_views_p25	Instant experience video views at 25%	NUMERIC	Interactions (Instant Experiences)
ix_video_views_p50	Instant experience video views at 50%	NUMERIC	Interactions (Instant Experiences)
ix_video_views_p75	Instant experience video views at 75%	NUMERIC	Interactions (Instant Experiences)
landing_page_url	Landing page URL	TEXT	Ad
landing_page_view_rate	Landing page view rate (website)	PERCENT	Conversions (Website)
language	Language	TEXT	Audience (Language)
messaging_conversation_rate_tiktok_direct_message	Conversation rate (TikTok direct message) (%)	PERCENT	Conversions (Messaging)
messaging_cost_per_conversation_tiktok_direct_message	Cost per conversation (TikTok direct message)	NUMERIC	Conversions (Messaging)
messaging_total_conversation_tiktok_direct_message	Conversations (TikTok direct message)	NUMERIC	Conversions (Messaging)
offline_cost_per_preferred_lead	Cost per preferred leads (offline)	NUMERIC	Conversions (Offline)
offline_form_event_rate	Unique form submission rate (offline) (%)	PERCENT	Conversions (Offline)
offline_form_events	Form submissions (offline)	NUMERIC	Conversions (Offline)
offline_form_events_value	Form submission value (offline)	NUMERIC	Conversions (Offline)
offline_preferred_lead_rate	Preferred leads rate (offline) (%)	PERCENT	Conversions (Offline)
offline_preferred_leads	Preferred leads (offline)	NUMERIC	Conversions (Offline)
onsite_cost_per_product_details_page_view	Cost per product details page view (TikTok)	NUMERIC	Conversions (TikTok)
onsite_form	Form submissions (TikTok)	NUMERIC	Conversions (TikTok)
onsite_form_rate	Unique form submission rate (TikTok)	PERCENT	Conversions (TikTok)
onsite_product_details_page_view_rate	Product details page view rate (TikTok) (%)	PERCENT	Conversions (TikTok)
onsite_total_filtered_out_form_submission	Filtered out form submissions (TikTok)	NUMERIC	Conversions (TikTok)
onsite_total_product_details_page_view	Product details page view (TikTok)	NUMERIC	Conversions (TikTok)
onsite_total_product_details_page_view_value	Product details page view value (TikTok)	NUMERIC	Conversions (TikTok)
onsite_value_per_product_details_page_view	Value per product details page view (TikTok)	NUMERIC	Conversions (TikTok)
organic_video_views	Organic Video Views	NUMERIC	Ad
page_content_view_event_rate	Unique content view rate (website) (%)	PERCENT	Conversions (Website)
page_content_view_events	Content views (website)	NUMERIC	Conversions (Website)
page_event_search	Searches (website)	NUMERIC	Conversions (Website)
page_event_search_rate	Unique search rate (website) (%)	PERCENT	Conversions (Website)
page_id	Page ID	TEXT	Assets (Page)
pageview_rate	Page view rate (website) (%)	PERCENT	Conversions (Website)
paid_engaged_view	6-second focused views (paid views)	NUMERIC	Interactions (Videos)
paid_engaged_view_15s	15-second focused views (paid views)	NUMERIC	Interactions (Videos)
paid_engagement_engaged_view	6-second focused views (paid interactions)	NUMERIC	Interactions (Videos)
paid_engagement_engaged_view_15s	15-second focused views (paid interactions)	NUMERIC	Interactions (Videos)
placement	Placement	TEXT	Ad Group
placement_type	Placement type	TEXT	Ad Group
platform	Platform	TEXT	Audience (Platform)
profile_image	Ad Group Profile image	IMAGE_URL	Ad Group
profile_image_url	Profile Image URL	IMAGE_URL	
province_id	Province ID	TEXT	Audience (Province)
province_name	Province Name	TEXT	Audience (Province)
reach	Reach	NUMERIC	Performance
real_time_conversion	Conversions by conversion time	NUMERIC	Performance
real_time_conversion_rate	Real-time conversion rate (CVR, clicks)	PERCENT	Performance
real_time_cost_per_conversion	Cost per conversion by conversion time	NUMERIC	Performance
sales_lead	Unique leads generated (app)	NUMERIC	Conversions (App)
sales_lead_rate	Unique lead generation rate (app)	PERCENT	Conversions (App)
single_image_ctr	Single image CTR	PERCENT	Interactions (Images)
single_image_impression_rate	Single image showrate	PERCENT	Interactions (Images)
single_image_impressions	Single image impression	NUMERIC	Interactions (Images)
skan_click_time_conversion	Conversions (SKAN click time)	NUMERIC	SKAN Performance
skan_click_time_conversion_rate	CVR (SKAN click time, clicks)	PERCENT	SKAN Performance
skan_click_time_cost_per_conversion	CPA (SKAN click time)	NUMERIC	SKAN Performance
skan_conversion	Conversions (SKAN)	NUMERIC	SKAN Performance
skan_conversion_rate	Conversion rate (SKAN, clicks)	PERCENT	SKAN Performance
skan_conversion_rate_v2	Conversion rate (SKAN)	PERCENT	SKAN Performance
skan_cost_per_conversion	Cost per conversion (SKAN)	NUMERIC	SKAN Performance
skan_cost_per_cta_conversion	Cost per CTA conversion (SKAN)	NUMERIC	SKAN Conversions (Attribution)
skan_cost_per_sales_lead	Cost per unique lead generated (SKAN)	NUMERIC	SKAN Conversions
skan_cost_per_total_sales_lead	Cost per lead generated (SKAN)	NUMERIC	SKAN Conversions
skan_cost_per_vta_conversion	Cost per VTA conversion (SKAN)	NUMERIC	SKAN Conversions (Attribution)
skan_cta_conversion	CTA conversions (SKAN)	NUMERIC	SKAN Conversions (Attribution)
skan_sales_lead	Unique leads generated (SKAN)	NUMERIC	SKAN Conversions
skan_sales_lead_rate	Unique lead generation rate (SKAN)	PERCENT	SKAN Conversions
skan_total_sales_lead	Leads generated (SKAN)	NUMERIC	SKAN Conversions
skan_total_sales_lead_value	Lead generation value (SKAN)	NUMERIC	SKAN Conversions
skan_vta_conversion	VTA conversions (SKAN)	NUMERIC	SKAN Conversions (Attribution)
sound_usage_clicks	Use sound button clicks	NUMERIC	Interactions (Clicks)
spend	Cost	NUMERIC	Performance
total_form_value	Form submission value (website)	NUMERIC	Conversions (Website)
total_landing_page_view	Landing page views (website)	NUMERIC	Conversions (Website)
total_onsite_form_value	Form submission value (TikTok)	NUMERIC	Conversions (TikTok)
total_page_event_search_value	Search value (website)	NUMERIC	Conversions (Website)
total_page_view_content_events_value	Content view value (website)	NUMERIC	Conversions (Website)
total_pageview	Page views (website)	NUMERIC	Conversions (Website)
total_sales_lead	Leads generated (app)	NUMERIC	Conversions (App)
total_sales_lead_value	Lead generation value (app)	NUMERIC	Conversions (App)
total_value_per_pageview	Total page view value (website)	NUMERIC	Conversions (Website)
value_per_custom_page_event	Value per custom event (website)	NUMERIC	Conversions (Website)
value_per_form	Value per form submitted (website)	NUMERIC	Conversions (Website)
value_per_offline_form_event	Value per form submitted (offline)	NUMERIC	Conversions (Offline)
value_per_onsite_form	Value per form submitted (TikTok)	NUMERIC	Conversions (TikTok)
value_per_page_content_view_event	Value per content view (website)	NUMERIC	Conversions (Website)
value_per_page_event_search	Value per search (website)	NUMERIC	Conversions (Website)
value_per_total_sales_lead	Value per lead generated (app)	NUMERIC	Conversions (App)
video_id	Ad Video ID	TEXT	Ad
video_material_id	Video Material ID	TEXT	Assets (Video)
video_thumbnail_url	Video Thumbnail URL	IMAGE_URL	Ad
video_url	Video URL	TEXT	Ad
vta_conversion	VTA conversions	NUMERIC	Conversions (Attribution)
